"Ma","Points:0","Points:1","Points:2","T","U:0","U:1","U:2","p"
0.24229,0.090909,0.11407,0,494.2,5.3845,-0.13587,0,8.0955e+05
0.24268,0.1,0.11407,0,494.18,5.3929,-0.14311,0,8.0944e+05
0.2431,0.10909,0.11407,0,494.16,5.402,-0.15113,0,8.0933e+05
0.24355,0.11818,0.11407,0,494.14,5.4116,-0.15997,0,8.0921e+05
0.24404,0.12727,0.11407,0,494.11,5.4219,-0.16963,0,8.0909e+05
0.24455,0.13636,0.11407,0,494.09,5.433,-0.18017,0,8.0895e+05
0.24511,0.14545,0.11407,0,494.06,5.4449,-0.19159,0,8.088e+05
0.24572,0.15455,0.11407,0,494.03,5.4577,-0.20394,0,8.0864e+05
0.24637,0.16364,0.11407,0,494,5.4714,-0.21724,0,8.0847e+05
0.24707,0.17273,0.11407,0,493.97,5.4863,-0.23153,0,8.0828e+05
0.24783,0.18182,0.11407,0,493.93,5.5023,-0.24682,0,8.0808e+05
0.24863,0.19091,0.11407,0,493.89,5.5192,-0.26315,0,8.0786e+05
0.24961,0.2,0.11407,0,493.85,5.5398,-0.28324,-3.7322e-21,8.0761e+05
0.23925,0,0.13753,0,494.34,5.3182,-0.11556,0,8.1032e+05
0.23932,0.0090909,0.13753,0,494.34,5.3198,-0.11569,0,8.1032e+05
0.23952,0.018182,0.13753,0,494.33,5.3241,-0.11641,0,8.1028e+05
0.23978,0.027273,0.13753,0,494.32,5.3297,-0.1181,0,8.1021e+05
0.24001,0.036364,0.13753,0,494.3,5.3348,-0.12078,0,8.1014e+05
0.24022,0.045455,0.13753,0,494.3,5.3393,-0.12427,0,8.1008e+05
0.24043,0.054545,0.13753,0,494.29,5.3438,-0.12851,0,8.1003e+05
0.24066,0.063636,0.13753,0,494.27,5.3486,-0.13352,0,8.0997e+05
0.2409,0.072727,0.13753,0,494.26,5.3538,-0.13934,0,8.0991e+05
0.24115,0.081818,0.13753,0,494.25,5.3593,-0.146,0,8.0984e+05
0.24143,0.090909,0.13753,0,494.24,5.3652,-0.15354,0,8.0977e+05
0.24173,0.1,0.13753,0,494.22,5.3714,-0.16196,0,8.0969e+05
0.24205,0.10909,0.13753,0,494.21,5.3782,-0.17131,0,8.0961e+05
0.2424,0.11818,0.13753,0,494.19,5.3855,-0.18163,0,8.0951e+05
0.24277,0.12727,0.13753,0,494.17,5.3934,-0.19294,0,8.0942e+05
0.24318,0.13636,0.13753,0,494.16,5.402,-0.20528,0,8.0931e+05
0.24363,0.14545,0.13753,0,494.13,5.4113,-0.2187,0,8.0919e+05
0.24412,0.15455,0.13753,0,494.11,5.4214,-0.23323,0,8.0906e+05
0.24465,0.16364,0.13753,0,494.09,5.4324,-0.2489,0,8.0892e+05
0.24524,0.17273,0.13753,0,494.06,5.4445,-0.26576,0,8.0877e+05
0.24587,0.18182,0.13753,0,494.03,5.4575,-0.28384,0,8.086e+05
0.24656,0.19091,0.13753,0,493.99,5.4716,-0.30318,0,8.0841e+05
0.2474,0.2,0.13753,0,493.95,5.4887,-0.32706,-8.6715e-21,8.082e+05
0.23924,0,0.15925,0,494.34,5.3178,-0.1228,0,8.1032e+05
0.23928,0.0090909,0.15925,0,494.34,5.3187,-0.12295,0,8.1032e+05
0.23939,0.018182,0.15925,0,494.33,5.3211,-0.12373,0,8.103e+05
0.23953,0.027273,0.15925,0,494.33,5.3241,-0.12559,0,8.1026e+05
0.23966,0.036364,0.15925,0,494.32,5.3269,-0.12852,0,8.1022e+05
0.23978,0.045455,0.15925,0,494.32,5.3295,-0.13236,0,8.1019e+05
0.23991,0.054545,0.15925,0,494.31,5.3321,-0.13702,0,8.1016e+05
0.24004,0.063636,0.15925,0,494.3,5.3349,-0.14254,0,8.1012e+05
0.24019,0.072727,0.15925,0,494.3,5.3379,-0.14896,0,8.1009e+05
0.24035,0.081818,0.15925,0,494.29,5.3413,-0.15633,0,8.1004e+05
0.24052,0.090909,0.15925,0,494.28,5.3449,-0.16468,0,8.1e+05
0.24072,0.1,0.15925,0,494.27,5.3488,-0.17403,0,8.0995e+05
0.24093,0.10909,0.15925,0,494.26,5.3532,-0.18443,0,8.0989e+05
0.24117,0.11818,0.15925,0,494.25,5.358,-0.19592,0,8.0983e+05
0.24143,0.12727,0.15925,0,494.24,5.3633,-0.20855,0,8.0976e+05
0.24172,0.13636,0.15925,0,494.22,5.3691,-0.22237,0,8.0969e+05
